n_estimators,max_depth,min_samples_leaf,rmse_pred_train_avg,rmse_pred_train_stdev,rmse_pred_test_avg,rmse_pred_test_stdev,rmse_prog_avg,rmse_prog_stdev
177,9.0,2,42.9933777866561,11.913709913131155,34.38487285314306,10.39564600732172,45.69189420487192,17.846520020287922
181,9.0,23,43.268877511323595,12.250774312489934,34.535059412502704,11.209077606897832,45.69189420487192,17.846520020287922
92,10.0,3,42.078350283607925,13.38213073979575,34.58426223860708,10.812188982253438,45.69189420487192,17.846520020287922
100,,1,36.40527791450864,11.902533570447885,34.66012444614182,10.28287109752505,45.69189420487192,17.846520020287922
208,10.0,2,41.65798686260759,12.512354185711835,35.07992744756742,11.297683597996397,45.69189420487192,17.846520020287922
71,10.0,12,42.1733367997482,12.612861311823247,35.14759691359241,11.532237415814206,45.69189420487192,17.846520020287922
147,8.0,9,43.85042443158518,11.79753161368235,35.88579112706198,10.551774111647672,45.69189420487192,17.846520020287922
249,7.0,6,44.32300093034254,11.416789834157875,36.40319246552724,10.469202201206897,45.69189420487192,17.846520020287922
166,6.0,17,46.09431762603096,13.165368377530358,38.17741430050426,10.660558072886305,45.69189420487192,17.846520020287922
235,6.0,18,45.64797539879541,11.468873038136453,38.309394635106116,10.590481355120122,45.69189420487192,17.846520020287922
176,6.0,22,44.85618961097841,12.12637378904478,38.476495739875105,10.521452801516563,45.69189420487192,17.846520020287922
233,10.0,38,43.07587555679853,12.840707636514873,40.104286168809665,15.817349127557794,45.69189420487192,17.846520020287922
64,9.0,26,43.95408247847915,12.608032073785411,40.121688899115014,14.859363295179165,45.69189420487192,17.846520020287922
244,8.0,37,44.10136128679295,12.293362512677094,40.718034429002515,15.67268171464185,45.69189420487192,17.846520020287922
105,8.0,37,43.3578511440162,12.555107210368943,41.3431180293947,16.090067414926843,45.69189420487192,17.846520020287922
54,7.0,28,44.534110902696156,12.748695303828987,41.370390136653064,14.678077293862628,45.69189420487192,17.846520020287922
95,8.0,44,43.82992726514528,12.758995577896703,41.69747828688364,16.417097981928777,45.69189420487192,17.846520020287922
122,8.0,37,43.60005642247883,12.08844444040766,41.91526859541881,16.466705768822486,45.69189420487192,17.846520020287922
123,7.0,50,44.5088069906958,13.036900452912429,42.243753756166775,15.811977430363445,45.69189420487192,17.846520020287922
55,5.0,15,45.66568321524232,10.734303654584238,42.660803937201486,15.021678243996165,45.69189420487192,17.846520020287922
120,7.0,38,43.34650677141133,12.285522916255784,42.70254184598493,16.02033859057053,45.69189420487192,17.846520020287922
183,6.0,38,45.553993217953305,12.001204652711689,43.822550632953295,14.711978007162113,45.69189420487192,17.846520020287922
164,5.0,12,46.92937550719348,12.088448953642407,44.24357660792474,13.454537623834396,45.69189420487192,17.846520020287922
144,5.0,40,46.611643953038396,11.619433473052002,47.76519931378039,16.9611930271343,45.69189420487192,17.846520020287922
189,5.0,48,47.59785271205651,11.679038013973734,48.42466726273326,17.27356127018952,45.69189420487192,17.846520020287922
134,4.0,24,58.33341234716428,15.13777212347716,58.56930887115551,29.281731573282954,45.69189420487192,17.846520020287922
201,4.0,25,59.13290624747153,15.773893452036347,58.57171294459487,28.962987117523166,45.69189420487192,17.846520020287922
250,4.0,46,59.2809546160111,15.75401285623102,58.67051062852887,29.20408458270602,45.69189420487192,17.846520020287922
88,4.0,40,58.13803876436238,15.123937874111553,58.76031804089284,29.412703438318992,45.69189420487192,17.846520020287922
79,4.0,7,58.944721803930896,15.694937273910206,59.02287316987307,29.507634268746987,45.69189420487192,17.846520020287922
77,4.0,46,58.91606668767552,15.759227865022998,59.09941945929787,29.702311228308158,45.69189420487192,17.846520020287922
225,3.0,15,91.69095351933045,37.07048904290381,72.71306244452771,31.868581218034006,45.69189420487192,17.846520020287922
250,3.0,38,91.76274547099361,37.03969578299824,72.72663032825275,31.86333947973805,45.69189420487192,17.846520020287922
239,3.0,35,91.7531207583369,37.03834157511888,72.74089405629233,31.859051288504137,45.69189420487192,17.846520020287922
163,3.0,15,92.90756052600223,37.4069847992331,72.74460377634635,31.865928487788274,45.69189420487192,17.846520020287922
159,3.0,37,92.96393557485813,37.3299588666262,72.75832977443713,31.849705080273022,45.69189420487192,17.846520020287922
247,3.0,14,91.73229468234337,37.05133150447426,72.77545505744348,31.853221267010447,45.69189420487192,17.846520020287922
